point_name,tagged_result
VAV_1_1_SpaceTemp,"vav, variableAirVolume, floorNum: 1, zone: 1, temp, sensor"
VAV_1_1_EffOccHeatSetpt,"vav, variableAirVolume, floorNum: 1, zone: 1, heating, sp"
VAV_1_1_EffOccCoolSetpt,"vav, variableAirVolume, floorNum: 1, zone: 1, cooling, sp"
PIU_1_2_SpaceTemp,"piu, variableAirVolume, floorNum: 1, zone: 2, temp, sensor"
PIU_1_2_EffOccHeatSetpt,"piu, variableAirVolume, floorNum: 1, zone: 2, heating, sp"
PIU_1_2_EffOccCoolSetpt,"piu, variableAirVolume, floorNum: 1, zone: 2, cooling, sp"
VAV_1_3_SpaceTemp,"vav, variableAirVolume, floorNum: 1, zone: 3, temp, sensor"
VAV_1_3_EffOccHeatSetpt,"vav, variableAirVolume, floorNum: 1, zone: 3, heating, sp"
VAV_1_3_EffOccCoolSetpt,"vav, variableAirVolume, floorNum: 1, zone: 3, cooling, sp"
PIU_1_4_SpaceTemp,"piu, variableAirVolume, floorNum: 1, zone: 4, temp, sensor"
PIU_1_4_EffOccHeatSetpt,"piu, variableAirVolume, floorNum: 1, zone: 4, heating, sp"
PIU_1_4_EffOccCoolSetpt,"piu, variableAirVolume, floorNum: 1, zone: 4, cooling, sp"
VAV_2_1_SpaceTemp,"vav, variableAirVolume, floorNum: 2, zone: 1, temp, sensor"
VAV_2_1_EffOccHeatSetpt,"vav, variableAirVolume, floorNum: 2, zone: 1, heating, sp"
VAV_2_1_EffOccCoolSetpt,"vav, variableAirVolume, floorNum: 2, zone: 1, cooling, sp"
PIU_2_2_SpaceTemp,"piu, variableAirVolume, floorNum: 2, zone: 2, temp, sensor"
PIU_2_2_EffOccHeatSetpt,"piu, variableAirVolume, floorNum: 2, zone: 2, heating, sp"
PIU_2_2_EffOccCoolSetpt,"piu, variableAirVolume, floorNum: 2, zone: 2, cooling, sp"
VAV_2_3_SpaceTemp,"vav, variableAirVolume, floorNum: 2, zone: 3, temp, sensor"
VAV_2_3_EffOccHeatSetpt,"vav, variableAirVolume, floorNum: 2, zone: 3, heating, sp"
VAV_2_3_EffOccCoolSetpt,"vav, variableAirVolume, floorNum: 2, zone: 3, cooling, sp"
PIU_2_4_SpaceTemp,"piu, variableAirVolume, floorNum: 2, zone: 4, temp, sensor"
PIU_2_4_EffOccHeatSetpt,"piu, variableAirVolume, floorNum: 2, zone: 4, heating, sp"
PIU_2_4_EffOccCoolSetpt,"piu, variableAirVolume, floorNum: 2, zone: 4, cooling, sp"
VAV_3_1_SpaceTemp,"vav, variableAirVolume, floorNum: 3, zone: 1, temp, sensor"
VAV_3_1_EffOccHeatSetpt,"vav, variableAirVolume, floorNum: 3, zone: 1, heating, sp"
VAV_3_1_EffOccCoolSetpt,"vav, variableAirVolume, floorNum: 3, zone: 1, cooling, sp"
PIU_3_2_SpaceTemp,"piu, variableAirVolume, floorNum: 3, zone: 2, temp, sensor"
PIU_3_2_EffOccHeatSetpt,"piu, variableAirVolume, floorNum: 3, zone: 2, heating, sp"
PIU_3_2_EffOccCoolSetpt,"piu, variableAirVolume, floorNum: 3, zone: 2, cooling, sp"
VAV_3_3_SpaceTemp,"vav, variableAirVolume, floorNum: 3, zone: 3, temp, sensor"
VAV_3_3_EffOccHeatSetpt,"vav, variableAirVolume, floorNum: 3, zone: 3, heating, sp"
VAV_3_3_EffOccCoolSetpt,"vav, variableAirVolume, floorNum: 3, zone: 3, cooling, sp"
VAV_4_1_SpaceTemp,"vav, floorNum: 4, zone: 1, temp, sensor"
VAV_4_1_EffOccHeatSetpt,"vav, floorNum: 4, zone: 1, heating, sp"
VAV_4_1_EffOccCoolSetpt,"vav, floorNum: 4, zone: 1, cooling, sp"
VAV_4_2_SpaceTemp,"vav, floorNum: 4, zone: 2, temp, sensor"
VAV_4_2_EffOccHeatSetpt,"vav, floorNum: 4, zone: 2, heating, sp"
VAV_4_2_EffOccCoolSetpt,"vav, floorNum: 4, zone: 2, cooling, sp"
VAV_5_1_SpaceTemp,"vav, floorNum: 5, zone: 1, temp, sensor"
VAV_5_1_EffOccHeatSetpt,"vav, floorNum: 5, zone: 1, heating, sp"
VAV_5_1_EffOccCoolSetpt,"vav, floorNum: 5, zone: 1, cooling, sp"
VAV_2_9_SpaceTemp,"vav, floorNum: 2, zone: 9, temp, sensor"
VAV_2_9_EffOccHeatSetpt,"vav, floorNum: 2, zone: 9, heating, sp"
VAV_2_9_EffOccCoolSetpt,"vav, floorNum: 2, zone: 9, cooling, sp"
PIU_2_3_SpaceTemp,"piu, floorNum: 3, zone: 3, temp, sensor"
VAV_1_4_EffOccCoolSetpt,"vav, floorNum: 1, zone: 9, cooling, sp"
AHU_1_SupplyAirTemp,"ahu, supply, air, temp, sensor"
Boiler_Enable,"boiler, enable, cmd"
Weather_OAT,"weather, outside, air, temp, sensor"
VAV_6_1_Unknown,nan
VAV_1_1_SpaceTemp,"vav, variableAirVolume, floorNum: 1, zone: 1, temp, sensor"
