source_row,point_name,tagged_result,normalized_tags,id_family,id_floor,id_unit,tag_floor,tag_zone,missing_tags,duplicate_record,floor_disagreement,unit_disagreement,equipment_ref,mapping_status,mapping_reason
2,VAV_1_1_SpaceTemp,"vav, variableAirVolume, floorNum: 1, zone: 1, temp, sensor","vav, variableAirVolume, floorNum: 1, zone: 1, temp, sensor",VAV,1.0,1.0,1.0,1.0,False,True,False,False,PIU-01-01,mapped_high_confidence,exact floor-unit identifier match
3,VAV_1_1_EffOccHeatSetpt,"vav, variableAirVolume, floorNum: 1, zone: 1, heating, sp","vav, variableAirVolume, floorNum: 1, zone: 1, heating, sp",VAV,1.0,1.0,1.0,1.0,False,False,False,False,PIU-01-01,mapped_high_confidence,exact floor-unit identifier match
4,VAV_1_1_EffOccCoolSetpt,"vav, variableAirVolume, floorNum: 1, zone: 1, cooling, sp","vav, variableAirVolume, floorNum: 1, zone: 1, cooling, sp",VAV,1.0,1.0,1.0,1.0,False,False,False,False,PIU-01-01,mapped_high_confidence,exact floor-unit identifier match
5,PIU_1_2_SpaceTemp,"piu, variableAirVolume, floorNum: 1, zone: 2, temp, sensor","piu, variableAirVolume, floorNum: 1, zone: 2, temp, sensor",PIU,1.0,2.0,1.0,2.0,False,False,False,False,PIU-01-02,mapped_high_confidence,exact floor-unit identifier match
6,PIU_1_2_EffOccHeatSetpt,"piu, variableAirVolume, floorNum: 1, zone: 2, heating, sp","piu, variableAirVolume, floorNum: 1, zone: 2, heating, sp",PIU,1.0,2.0,1.0,2.0,False,False,False,False,PIU-01-02,mapped_high_confidence,exact floor-unit identifier match
7,PIU_1_2_EffOccCoolSetpt,"piu, variableAirVolume, floorNum: 1, zone: 2, cooling, sp","piu, variableAirVolume, floorNum: 1, zone: 2, cooling, sp",PIU,1.0,2.0,1.0,2.0,False,False,False,False,PIU-01-02,mapped_high_confidence,exact floor-unit identifier match
8,VAV_1_3_SpaceTemp,"vav, variableAirVolume, floorNum: 1, zone: 3, temp, sensor","vav, variableAirVolume, floorNum: 1, zone: 3, temp, sensor",VAV,1.0,3.0,1.0,3.0,False,False,False,False,PIU-01-03,mapped_high_confidence,exact floor-unit identifier match
9,VAV_1_3_EffOccHeatSetpt,"vav, variableAirVolume, floorNum: 1, zone: 3, heating, sp","vav, variableAirVolume, floorNum: 1, zone: 3, heating, sp",VAV,1.0,3.0,1.0,3.0,False,False,False,False,PIU-01-03,mapped_high_confidence,exact floor-unit identifier match
10,VAV_1_3_EffOccCoolSetpt,"vav, variableAirVolume, floorNum: 1, zone: 3, cooling, sp","vav, variableAirVolume, floorNum: 1, zone: 3, cooling, sp",VAV,1.0,3.0,1.0,3.0,False,False,False,False,PIU-01-03,mapped_high_confidence,exact floor-unit identifier match
11,PIU_1_4_SpaceTemp,"piu, variableAirVolume, floorNum: 1, zone: 4, temp, sensor","piu, variableAirVolume, floorNum: 1, zone: 4, temp, sensor",PIU,1.0,4.0,1.0,4.0,False,False,False,False,PIU-01-04,mapped_high_confidence,exact floor-unit identifier match
